id,name,spotifyUrl,img,spotifyFollowers,userId
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,104315190,
25uiPmTg16RbhZWAqwLBy5,Charli xcx,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,https://i.scdn.co/image/ab6761610000e5eb936885667ef44c306483c838,4637414,
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0,102232235,
26VFTg2z8YR0cCuwLzESi2,Halsey,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,https://i.scdn.co/image/ab6761610000e5eb7f17140567e7df5799d5c3a9,21813387,
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261,43012910,
1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,https://open.spotify.com/artist/1r1uxoy19fzMxunt3ONAkG,https://i.scdn.co/image/ab6761610000e5eb626686e362d30246e816cc5b,2683500,
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,42688019,
163tK9Wjr9P9DmM0AVK7lm,Lorde,https://open.spotify.com/artist/163tK9Wjr9P9DmM0AVK7lm,https://i.scdn.co/image/ab6761610000e5ebc4902f080d3620b3e6da80c3,10122596,
07D1Bjaof0NFlU32KXiqUP,Lucy Dacus,https://open.spotify.com/artist/07D1Bjaof0NFlU32KXiqUP,https://i.scdn.co/image/ab6761610000e5eb312e950a378c56701bd2584c,535983,
06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,130049922,
6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,https://open.spotify.com/artist/6nB0iY1cjSY1KyhYyuIIKH,https://i.scdn.co/image/ab6761610000e5eb1a8242e65195789d352c97bd,1306514,
