id,name,albumId,trackNumber,spotifyUrl,img,artistId,releaseDate,discNumber
0u2P5u6lvoDfwTYjAADbn4,lovely,,,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,6qqNVTkY8uBg9cP3Jd7DAH,2018-04-19 00:00:00,
4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,1NAmidJlEaVgA3MpcPFYGq,,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,06HL4z0CvFAxyc27GXpf02,2019-08-23 00:00:00,
4AYtqFyFbX0Xkc2wtcygTr,Soon You'll Get Better (feat. The Chicks),1NAmidJlEaVgA3MpcPFYGq,12,https://open.spotify.com/track/4AYtqFyFbX0Xkc2wtcygTr,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,06HL4z0CvFAxyc27GXpf02,,1
4R270Gk3arUUghyvwiMeKD,Hometown,3rnRG8mHzOpShNNJpYQQDR,9,https://open.spotify.com/track/4R270Gk3arUUghyvwiMeKD,https://i.scdn.co/image/ab67616d0000b273d75a6299e97f77511c8af9a9,26VFTg2z8YR0cCuwLzESi2,,1
6T5fglMH3Use8DLlTFLFqc,I Never Loved You,3rnRG8mHzOpShNNJpYQQDR,10,https://open.spotify.com/track/6T5fglMH3Use8DLlTFLFqc,https://i.scdn.co/image/ab67616d0000b273d75a6299e97f77511c8af9a9,26VFTg2z8YR0cCuwLzESi2,,1
5v71So0RR1HNY02n9ic7Dd,Darwinism,3rnRG8mHzOpShNNJpYQQDR,11,https://open.spotify.com/track/5v71So0RR1HNY02n9ic7Dd,https://i.scdn.co/image/ab67616d0000b273d75a6299e97f77511c8af9a9,26VFTg2z8YR0cCuwLzESi2,,1
04zzWT4ut7IdbRVxmGhqYh,Lonely is the Muse,3rnRG8mHzOpShNNJpYQQDR,12,https://open.spotify.com/track/04zzWT4ut7IdbRVxmGhqYh,https://i.scdn.co/image/ab67616d0000b273d75a6299e97f77511c8af9a9,26VFTg2z8YR0cCuwLzESi2,,1
4Xt8T1RxCk1gzbEFcSqSkc,Arsonist,3rnRG8mHzOpShNNJpYQQDR,13,https://open.spotify.com/track/4Xt8T1RxCk1gzbEFcSqSkc,https://i.scdn.co/image/ab67616d0000b273d75a6299e97f77511c8af9a9,26VFTg2z8YR0cCuwLzESi2,,1
2q3wnDr9kgXpHkXZfH5x7c,Life of the Spider (Draft),3rnRG8mHzOpShNNJpYQQDR,14,https://open.spotify.com/track/2q3wnDr9kgXpHkXZfH5x7c,https://i.scdn.co/image/ab67616d0000b273d75a6299e97f77511c8af9a9,26VFTg2z8YR0cCuwLzESi2,,1
4NmmPZUSJbZZ3cA65IHr3p,Hurt Feelings,3rnRG8mHzOpShNNJpYQQDR,15,https://open.spotify.com/track/4NmmPZUSJbZZ3cA65IHr3p,https://i.scdn.co/image/ab67616d0000b273d75a6299e97f77511c8af9a9,26VFTg2z8YR0cCuwLzESi2,,1
7Ax8T5sNUsAQLNJBbEviZw,Lucky,3rnRG8mHzOpShNNJpYQQDR,16,https://open.spotify.com/track/7Ax8T5sNUsAQLNJBbEviZw,https://i.scdn.co/image/ab67616d0000b273d75a6299e97f77511c8af9a9,26VFTg2z8YR0cCuwLzESi2,,1
